sku,category,size,fabric,base_price,product_name,product_url
RG151PRAB0008,Women,Small,Polyester,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0008.html
RG151PRAB0008,Women,Small,Cotton,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0008.html
RG151PRAB0008,Women,Medium,Polyester,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0008.html
RG151PRAB0008,Women,Medium,Cotton,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0008.html
RG151PRAB0008,Women,Large,Polyester,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0008.html
RG151PRAB0008,Women,Large,Cotton,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0008.html
RG151PRAB0008,Women,Extra Large,Polyester,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0008.html
RG151PRAB0008,Women,Extra Large,Cotton,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0008.html
RG151PRAB0008,Women,XXL,Polyester,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0008.html
RG151PRAB0008,Women,XXL,Cotton,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0008.html
RG151NRLD0009,Women,Small,Polyester,₹369.00,Women's Trendy Custom T-Shirt - Photo Print Edition,https://rightgifting.com/fashion/her/t-shirtrg151nrld0009.html
RG151NRLD0009,Women,Small,Cotton,₹369.00,Women's Trendy Custom T-Shirt - Photo Print Edition,https://rightgifting.com/fashion/her/t-shirtrg151nrld0009.html
RG151NRLD0009,Women,Medium,Polyester,₹369.00,Women's Trendy Custom T-Shirt - Photo Print Edition,https://rightgifting.com/fashion/her/t-shirtrg151nrld0009.html
RG151NRLD0009,Women,Medium,Cotton,₹369.00,Women's Trendy Custom T-Shirt - Photo Print Edition,https://rightgifting.com/fashion/her/t-shirtrg151nrld0009.html
RG151NRLD0009,Women,Large,Polyester,₹369.00,Women's Trendy Custom T-Shirt - Photo Print Edition,https://rightgifting.com/fashion/her/t-shirtrg151nrld0009.html
RG151NRLD0009,Women,Large,Cotton,₹369.00,Women's Trendy Custom T-Shirt - Photo Print Edition,https://rightgifting.com/fashion/her/t-shirtrg151nrld0009.html
RG151NRLD0009,Women,Extra Large,Polyester,₹369.00,Women's Trendy Custom T-Shirt - Photo Print Edition,https://rightgifting.com/fashion/her/t-shirtrg151nrld0009.html
RG151NRLD0009,Women,Extra Large,Cotton,₹369.00,Women's Trendy Custom T-Shirt - Photo Print Edition,https://rightgifting.com/fashion/her/t-shirtrg151nrld0009.html
RG151NRLD0009,Women,XXL,Polyester,₹369.00,Women's Trendy Custom T-Shirt - Photo Print Edition,https://rightgifting.com/fashion/her/t-shirtrg151nrld0009.html
RG151NRLD0009,Women,XXL,Cotton,₹369.00,Women's Trendy Custom T-Shirt - Photo Print Edition,https://rightgifting.com/fashion/her/t-shirtrg151nrld0009.html
RG151PRAb0002,Women,Small,Polyester,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0002.html
RG151PRAb0002,Women,Small,Cotton,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0002.html
RG151PRAb0002,Women,Medium,Polyester,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0002.html
RG151PRAb0002,Women,Medium,Cotton,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0002.html
RG151PRAb0002,Women,Large,Polyester,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0002.html
RG151PRAb0002,Women,Large,Cotton,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0002.html
RG151PRAb0002,Women,Extra Large,Polyester,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0002.html
RG151PRAb0002,Women,Extra Large,Cotton,₹770.00,Women's T-Shirt,https://rightgifting.com/fashion/her/t-shirtrg151prab0002.html
