sku,product_name,category,price,size,fabric,product_url,image_url
NA,,unknown,₹319.00,Default,Default,https://rightgifting.com/customized/t-shirt-for-kids.html,
NA,,women,"₹1,439.00",Default,Default,https://rightgifting.com/fashion/her/couple-t-shirts.html,
NA,,unknown,₹749.00,Default,Default,https://rightgifting.com/tshirt/team-t-shirt-for-kids-unisex.html,
NA,,unknown,₹395.00,Default,Default,https://rightgifting.com/customized/t-shirt-3183.html,
NA,,unknown,₹770.00,Default,Default,https://rightgifting.com/sport/wearbles/team-t-shirt.html,
NA,,unknown,₹770.00,Default,Default,https://rightgifting.com/sport/wearbles/t-shirt.html,
NA,,unknown,₹770.00,Default,Default,https://rightgifting.com/https-rightgifting-com-customized-team-t-shirt-html.html,
NA,,unknown,₹770.00,Default,Default,https://rightgifting.com/s-t-shirt.html,
NA,,unknown,₹770.00,Default,Default,https://rightgifting.com/s-team-t-shirt.html,
NA,,unknown,₹770.00,Default,Default,https://rightgifting.com/https-rightgifting-com-customized-t-shirt-3183-html.html,
NA,,unknown,₹199.00,Default,Default,https://rightgifting.com/customized/t-shirts.html,
NA,,unknown,₹720.00,Default,Default,https://rightgifting.com/combo/face-mask-and-t-shirt.html,
NA,,unknown,₹319.00,Default,Default,https://rightgifting.com/fashion/babies/t-shirt.html,
NA,,kids,₹319.00,Default,Default,https://rightgifting.com/fashion/kids/t-shirt.html,
NA,,unknown,"₹1,439.00",Default,Default,https://rightgifting.com/collection/teens/fashion/couple-t-shirt.html,
NA,,unknown,₹395.00,Default,Default,https://rightgifting.com/fashion/teen/t-shirts.html,
